id,name,slack,start_date,end_date,created_at,updated_at,deleted_at,program_id
32,Betelgeuse,#betelgeuse,2019-05-28,2019-10-08,"2019-05-28 18:41:05","2019-05-28 18:41:05",NULL,2
33,Ceres,#ceres,2019-07-15,2019-12-11,"2019-07-15 16:57:21","2019-07-15 16:57:21",NULL,2
34,Bayes,#,2019-08-19,2020-01-30,"2019-08-20 14:38:55","2019-08-20 14:38:55",NULL,3
51,Deimos,#deimos,2019-09-16,2020-02-27,"2019-09-16 13:07:04","2019-09-16 13:07:04",NULL,2
52,Europa,#europa,2019-11-04,2020-04-17,"2019-11-04 18:27:07","2019-11-04 18:27:07",NULL,2
53,Fortuna,#fortuna,2020-01-13,2020-06-23,"2020-01-13 21:17:08","2020-01-13 21:17:08",NULL,2
55,Curie,#curie,2020-02-03,2020-07-07,"2020-02-03 19:31:51","2020-02-03 19:31:51",NULL,3
56,Apex,#apex,2020-02-24,2020-07-29,"2020-02-24 15:39:33","2020-07-29 18:41:13",NULL,2
57,Ganymede,#ganymede,2020-03-23,2020-08-20,"2020-03-23 17:52:16","2020-03-23 17:52:16",NULL,2
58,Hyperion,#hyperion,2020-05-26,2020-11-10,"2020-05-26 19:22:44","2020-05-26 19:22:44",NULL,2
59,Darden,#darden,2020-07-13,2021-01-12,"2020-07-13 18:32:19","2020-07-13 18:32:19",NULL,3
60,Io,#io,2020-07-20,2021-01-21,"2020-07-20 13:24:55","2020-09-30 15:54:53",NULL,2
61,Bash,#bash,2020-07-20,2021-01-21,"2020-07-20 19:04:00","2020-09-30 15:54:46",NULL,2
62,Jupiter,#jupiter,2020-09-21,2021-03-30,"2020-09-21 18:06:27","2020-09-21 18:06:27",NULL,2
132,Kalypso,#kalypso,2020-11-02,2021-05-04,"2020-11-02 20:43:58","2020-11-02 20:43:58",NULL,2
133,Easley,#easley,2020-12-07,2021-06-08,"2020-12-07 15:20:18","2020-12-07 15:20:18",NULL,3
134,Luna,#luna,2020-12-07,2021-06-08,"2020-12-07 16:58:43","2020-12-07 16:58:43",NULL,2
135,Marco,#marco,2021-01-25,2021-07-19,"2021-01-20 21:31:11","2021-01-20 21:31:11",NULL,2
136,"Placeholder for students in transition",#null,2021-03-03,2029-03-01,"2021-03-03 21:50:49","2021-03-03 21:52:56",NULL,2
137,Florence,#florence,2021-03-15,2021-09-03,"2021-03-15 18:18:20","2021-03-15 18:18:20",NULL,3
138,Neptune,#neptune,2021-03-15,2021-09-03,"2021-03-15 19:57:09","2021-03-15 19:57:09",NULL,2
139,Oberon,#oberon,2021-04-12,2021-10-01,"2021-04-12 18:07:21","2021-04-12 18:07:21",NULL,2
